E,N,Y
S1929E01,Bosko the Talk-Ink Kid,1-May-29
S1930E01,Sinkin' in the Bathtub,19-Apr-30
S1930E02,Congo Jazz,1-Sep-30
S1930E03,Hold Anything,1-Oct-30
S1930E04,The Booze Hangs High,1-Nov-30
S1930E05,Box Car Blues,1-Dec-30
S1931E01,Big Man from the North,1-Jan-31
S1931E02,Ain't Nature Grand,1-Feb-31
S1931E03,Ups 'n Downs,1-Mar-31
S1931E04,Dumb Patrol,1-Apr-31
S1931E05,Yodeling Yokels,1-May-31
S1931E06,Bosko's Holiday,1-Jun-31
S1931E07,The Tree's Knees,1-Jul-31
S1931E08,"Lady, Play Your Mandolin!",1-Aug-31
S1931E09,"Smile, Darn Ya, Smile!",5-Sep-31
S1931E10,Bosko Shipwrecked!,19-Sep-31
S1931E11,One More Time,3-Oct-31
S1931E12,Bosko the Doughboy,17-Oct-31
S1931E13,You Don't Know What You're Doin'!,31-Oct-31
S1931E14,Bosko's Soda Fountain,14-Nov-31
S1931E15,Hittin' the Trail for Hallelujah Land,28-Nov-31
S1931E16,Bosko's Fox Hunt,12-Dec-31
S1931E17,Red-Headed Baby,26-Dec-31
S1932E01,Bosko at the Zoo,9-Jan-32
S1932E02,Pagan Moon,23-Jan-32
S1932E03,Battling Bosko,6-Feb-32
S1932E04,Freddy the Freshman,20-Feb-32
S1932E05,Big-Hearted Bosko,5-Mar-32
S1932E06,"Crosby, Columbo, and Vallee",19-Mar-32
S1932E07,Bosko's Party,2-Apr-32
S1932E08,Goopy Geer,16-Apr-32
S1932E09,Bosko and Bruno,30-Apr-32
S1932E10,It's Got Me Again!,14-May-32
S1932E11,Moonlight for Two,11-Jun-32
S1932E12,Bosko's Dog Race,25-Jun-32
S1932E13,The Queen Was in the Parlor,9-Jul-32
S1932E14,Bosko at the Beach,23-Jul-32
S1932E15,I Love a Parade,6-Aug-32
S1932E16,Bosko's Store,13-Aug-32
S1932E17,Bosko the Lumberjack,3-Sep-32
S1932E18,You're Too Careless with Your Kisses!,10-Sep-32
S1932E19,"Ride Him, Bosko!",17-Sep-32
S1932E20,I Wish I Had Wings,15-Oct-32
S1932E21,Bosko the Drawback,22-Oct-32
S1932E22,A Great Big Bunch of You,12-Nov-32
S1932E23,Bosko's Dizzy Date,19-Nov-32
S1932E24,Three's a Crowd,10-Dec-32
S1932E25,Bosko's Woodland Daze,17-Dec-32
S1933E01,The Shanty Where Santy Claus Lives,7-Jan-33
S1933E02,Bosko in Dutch,14-Jan-33
S1933E03,One Step Ahead of My Shadow,4-Feb-33
S1933E04,Bosko in Person,11-Feb-33
S1933E05,Young and Healthy,4-Mar-33
S1933E06,Bosko the Speed King,22-Mar-33
S1933E07,The Organ Grinder,8-Apr-33
S1933E08,Wake up the Gypsy in Me,13-May-33
S1933E09,Bosko's Knight-Mare,8-Jun-33
S1933E10,I Like Mountain Music,13-Jun-33
S1933E11,Bosko the Sheep-Herder,14-Jun-33
S1933E12,Beau Bosko,1-Jul-33
S1933E13,Shuffle Off to Buffalo,8-Jul-33
S1933E14,The Dish Ran Away with the Spoon,5-Aug-33
S1933E15,We're in the Money,26-Aug-33
S1933E16,Bosko's Picture Show,26-Aug-33
S1933E17,Buddy's Day Out,9-Sep-33
S1933E18,Bosko the Musketeer,12-Aug-33
S1933E19,I've Got to Sing a Torch Song,23-Sep-33
S1933E20,Bosko's Mechanical Man,29-Jul-33
S1933E21,Buddy's Beer Garden,11-Nov-33
S1933E22,Buddy's Show Boat,9-Dec-33
